,text,polarity
10,"first read armistead maupins story taken human drama displayed gabriel one cares loves said given film version excellent story expected see past gloss hollywoodwriter armistead maupin director patrick stettner truly succeeded with right amount restraint robin williams captures fragile essence gabriel lets us see struggle issues trust personnel lifejess world around himdonnaas introduced players drama reminded nothing ever seems smallest event change lives irrevocably request review book written young man turns life changing event helps gabriel find strength within carry move forwardits bad people avoid film say average american probably think robin williams serious role didnt work before please give movie chance robin williams touches darkness must find go better people like movie one hour photo stepped actor made another quality piece artoh forget believe bobby cannavale jess steals every scene in 1940s leading man looks screen presence its hacks opinion could carry movie right nows",1
11,"liked film action scenes interesting tense well done especially liked opening scene semi truck it tense action scene seemed well donesome transitional scenes filmed interesting ways time lapse photography unusual colors interesting angles also film funny several parts also liked evil guy portrayed too id give film 8 10",1
12,"many illnesses born mind man given life modern times constant vigilance accrued information realm pyschosis kept psychologists counselors psychiatrists busy enough work last decades occasionally mental phenomenon discover knowledge remedy even existence premise film entitled night listner tells story popular radio host called gabriel noon robin williams spends evenings enthralling audiences vivid stories gay lifestyles perhaps show losing its authentic veneer causes noon admit longer himself feeling abandoned lover jess bobby cannavale best friend joe morton seeks shelter deepening despair isolation here mysterious voice night asks help noon needs feel useful reaches desperate voice belongs 14 year old boy called peter rory culkin reading boys harrowing manuscript depicts early life sexual abuse hands brutal parents noon captivated wants help however things seem noon soon finds enwrapped elusive bizarre tale torn right medical nightmare movie pure robin williams toni collette plays donna d logand sandra oh anna john cullum pop might comical instead may prove one williams serious performances ",1
13,"enjoyed night listener much its one better movies summerrobin williams gives one best performances fact entire cast good played right notes characters much little sandra oh adds wonderful comic touch toni collette great mom never goes top everyone believableits short movie hour half noticed general release version nine minutes shorter sundance version wonder disturbing images cut moviethe director told story straightforward fashion refreshing change many directors days seem think job impress audience rather tell story tell welldo sucker punched previews ads hitchcockian thriller see night listener want see good story told well go expecting hitchcock disappointedmy complaint movie ending director could left little audiences imagination minor quibble",1
14,"night listener probably one williams best roles makes interesting character somewhat odd different movie guarantee never seen kind movie before people maybe wont like slow pacing movie think its great plus movie definitely one top movies come year 2006 intriguing performance movie great content dramatic feeling americanized movie neither predictable movie feel movie secrets hard time determine outcome may be excellent movie everything hell its damn good original movie",1
15,"like one previous commenters said foundations great movie something happened way delivery waste collettes performance eerie williams believable kept waiting get better dont think bad editing needed another director could film came across canadian movie something like first seasons xfiles cheap hokey also needed little suspense something makes jump seat movie reached moment faded away kind like false climax see suspenseful would taken away reality story thought part reached gabriel hospital looking boy movie needs directors cut tries fix problems",1
16,"night listener held attention robin williams shining new york city radio host becomes enamored friendship 14 year old boy rory culkin ill williams never met boy person contact talking telephone however williams exboyfriend nice job bobby cannavale raises doubt boy prompts williams arrange meeting person follows makes permanent impact williams way expect leave that toni collette also starsi enjoyed film toni collette giving memorable portrayal culkins adoptive mother sandra oh also starred williams friend night listener inspired actual events somber almost creepy silence throughout times predictable thanks reviews read seeing movie due logic liked anyway enjoy williams roles like this comedic characters added bonus me recommended 8/10",1
17,"popular radio storyteller gabriel onerobin williamsscraggy speaking hushedhypnotic tones becomes acquainted friends fourteenyearold boy wisconsin named pete logandrory culkinwho written book detailing sexual abuse parents bootpete aids compels gabriel stillsince partner jessbobby cannavalegoodhappens survivor hiv himself he also acquaints petes guardiana woman named donnatoni collettebrilliantand gabriel decides wants meet talk two person goes wisconsinhe discovers secrets wasnaturallynot prepared findbased real events happened armistead maupinwho cowrote screenplay terry andersonand directed patrick stetnerthis film moves lot faster90 minmaybe minutes longerthan one might think movie genre would run thats good keeps action storyline lean clear its bad leaves various holes plot doesnt sewup plot openings backstory id rather go great detail except say thatif familiar mrmaupins works personal storyyou feel little bit loop here stillthe performances williams wouldve loved heard narrationpersonallycollettecannavaleculkin much supporting castthe waitress restaurant colletes donna frequents great job small part hasare topnotch mood established herenamelythe chillylonely dark exteriors wisconsin new yorkgive terrific framing story may ends dont tie together particularly wellbut its still compelling enough story stick with",1
18,"one thing recommend film intriguing premise certainly draws audience mystery throughout film hints something dark lurking about however much tension williams mild mannered portrayal doesnt much makes us relate obsession boycollete fares much better woman whose true nature intentions clear production felt rushed holes apparent certainly feels like preview much complete better effort book probably betterone thing certain taupin must written something truly good inspired least one commendable effort",1
19,"absolutely loved film relate comments read it completely enthralled every second i found story gripping acting intense direction spoton would literally jump every time phone would ring close end movie even though nothing scary story itself soundly edge whole movie rest evening i found many perfect choices madethe casting script little bits humor sprinkled it many points film couldve gone cheap thrill never did put movie many mediocre thrillers come latelyand last number years",1
20,"night listener better people generally saying weaknesses seems genre identity crisis doubt think creepy atmosphere intriguing performances make this whole thing feels like one fireside this happened friend friend mine ghost stories one big complaint movie pacing slow sometimes awkward pacing deliberate everything unfolds movie kept well within realm possibility real life sort plods alongno flashy endings earthshattering revelations showdown scenes thank heaven get zone watching movie forget reservations expectations makes conventionallygood movie williams isnt terrific easily meets needs story plus character supposed somewhat generic no one everyman avatar enter story toni collettes performance nominated oscar even maybe shouldnt win it give shot quality content alone night listener surely top twenty percent movies coming days",1
21,"comes movies pretty picky ill complain anything everything done wrong every movie flaws night listener exceptionally low countif read last review it hard since half written caps contained actual information movie may led believe movie well done unfortunately read 3 lines review discovered posters reason disdain he/she like fact director gay or production team smokes crackapparentlyso despite fact never written review before thought movie deserved one based merits sexual orientation director lets go quick checklist first 1 great plot absolutely wont give shred away plot highly compelling definitely one would expect based commercials thriller horror approached such story really amaze you even its true and plot stay quite faithful actual events2 wonderful acting oh yes robin williams long ago broke free chains comedy typecast since flourished serious roles many people would wrote decade ago achieves high form role night listener playing radio host becomes increasingly troubled entangled case ofwell ill let see yourself3 excellent direction certainly now unlike poster referred actually know something direction ive sutdying art direction school 3 years course really dont think makes lick difference the thing matters like direction thought simply establish im basing opinions something substantial relevantfor example sexual orientation director or alleged drug habits production team lolpatrick stettners direction moody dark allowed angles lighting help create sosoughtafter feelings tension release rather messy fastpaced camerawork quick cuts were often subjected today people truly show story camera others feel make story camera really appreciate someone days courage use camera supposed utilized eyeball see4 lighting cinematography editing great around ive already wrote much could go last three things another ten paragraphs ill wrap upin short go see movie dont listen people alterior motives trashing it especially theyre stupid unknowingly reveal motive 1/4 way post enjoy show ben",1
22,"somewhat funny wellpaced action thriller jamie foxx hapless fasttalking hoodlum chosen overly demanding us treasury agent david morse released streets new york find picky computer thief/hacker doug hutchinson stole fortytwo million dollars treasury left two guards shot deadbait marks sophomore feature antoine fuqua the replacement killers handles task fairly well even though doesnt top first movie two films common action sequences flatout excellentfoxx pretty good although character annoying beginning throughout film began catch on hutchinson marvelous mastermind ruthless john malkovich patient late laurence olivier marathon man morse okay agent comes ingenious plan get whoever cost",1
23,"legendary boris karloff ended illustrious career making four cheapie fright flick clunkers mexico token moody period gothic horror entry bunch karloff gives typically spry dignified performance matthias morteval elderly eccentric patriarch invites several petty greedy backbiting nocount relatives creepy rundown castle reading will pretty soon hateful guests getting bumped lethal lifesized toy people populate place onetime mexican sex symbol andres garcia tintorera infamy portrays dashing police officer hero julissa looks absolutely ravishing sole likable female character clunky plodding nondirection trite bythenumbers script ugly washedout cinematography ridiculous murder set pieces a gross fat slob gets blasted right face miniature cannon overwrought string score morbid gloomdoom atmosphere largely lousy acting karloff notably excepted cheesy mild gore poor dubbing rousing fiery conclusion lend enjoyably awful lemon certain endearingly cruddy hence oddly amusing ratty charm real campy hoot",1
24,"tale based two edgar allen poe pieces the fall house usher dance death poem actually quite creepy beginning end similar old blackandwhite movies people meet old decrepit house for example the cat canary the old dark house night terror on boris karloff plays demented inventor lifesize dolls terrorize guests dies early film or  residents house subjected number terrifying experiences wont go much detail here definitely mustsee fans old dark house mysterieswatch plenty popcorn soda darkened roomdan basinger 8/10",1
25,"aro tolbukhin burnt alive seven people mission guatemala 70s also declared murdered another 16 people he used kill pregnant women set firethis movie documentary portraits personality aro several interviews people got know scenes played actors based real factsaro tolbukhin serious work analytical its morbid all horrifying testimony childhood trauma turn man monstermy rate 7/10",1
26,"seeing several movies villaronga pretty clear opinion concentrates much personal aspect characters forgetting rhythm movie why though good critics movies never caught broad audience attention aro follows line really improved rhythm especially end movie frankly speaking slept first part cause though first part gives necessary information really slow nevertheless second part absolutely marvelous makes whole movie best movie ever made villarongarecommended",1
27,"theres many things fall aro tolbukhin en la mente del asesino inside killers mind its hard talk without giving kind warning lets say movie like exercise cinema really really great done it´s made super 8 black white shots 35 milimeters color interviews flashbacks aro tolbukhin it´s like movie made documental viceversa peculiar aspect relays doubt leaves wondering really ever existed movie follows later life hungarian sailor arrived guatemala worked religious mission killed people act got caught death penalty sentenced movie starts french documentalists got interested character interview prior death nowadays people got involved make deeper research character one witness the moviefor main part history guided semi slow phase go look inside aro´s mind mainly order decode done nevertheless important thing filmmakers never gives us sided point view left judging us even may understand actions clearly never justify them so first half based upon recollecting information later things turn aros childhood giving movie incredible new force even tough never got weak boringi dont mean and dont want spoil anything thing left say chance get movie near you believe me trip see worthy",1
28,"got unique twists two genres ever seen giant monster movie genre living mummy movie genre unique blend makes unique compelling story casts outstanding including tom bosley far know never horror movie before ever effects impressive idea giant mummy filled smaller mummies cool one one complaint wish saw giant mummy think great job dialog characters story perfect acting wonderful got best movie come scifi channel heard me best movie come scifi channel give fallen ones 9 10",1
29,"without kirsten miller project neednt completed however awe inspiring beauty talent miss miller would definitely recommend it looked actors playing strong performance wagners dismal attempt honor film bit disappointing scenes didnt detract entertained mostly criticisms writing plot line group talent assembled heroic job salvaging disaster charismatic miller delivery timing impeccable believable plays fine line assertive bossy never offensive fact structural engineer claims be wish seen big screen alas fortunate rent lost",1
30,"sure titanic good movie first time see it really see second time opinion film definetly change first time see movie see underlying lovestory think ooh romantic second time and one think this annoying sit watching movie thinking dn ship going sink even impressive see several times acting film bad definetly great either glad dicaprio win oscar film mean think is anthony hopkins denzel washington 1 halfgood movie wont film less $20 million everyone suprised hardly films it enough about eyes worst character film kate winslets performance hand wonderful also tink director talented put film magnitude together one lesson learned movie many lovestories is filmmakers shouldnt try add crummy romance every single movie possible 100% give film mere 71%",1
31,"saw movie stunned great movie was movie think would ever give 10 star rating sure movie always top 5the acting superb leonardo dicaprio kate winslett best dont think anyone could better job kate if rainy day cant decide rent well one love acting special effects much much moreif seen movie go rent buy now wont regret it",1
32,"people bitch movie awful movies like godfather titanic greatest movie 21st centurywith great actingdirectingeffectsmusic generally everything movie always dumped one day one said didnt like world decided agree nothing wrong movie say movie heavily oscar awarded movie time money ever made ever sadly one underrated movies ive ever seen apart truly best movie time movies come close like star wars lord rings trilogy anything masters hitchcock spielberg tim burton good movies directors none match james camerons masterpiece titanic",1
33,"two commentsseven years apart hardly evidence films relentless pullingpower mentioned lowbudget telemovie status 13 gantry row mitigating factor limited appeal said however thing without merit either entertainment fright outing per setrue plot basic reworking amityville horror without much horror case intrigue gibney might made worthwhile impression played halifax investigating couple seemingly unconnected murders house main suspect script better average production overall high standard fails engage viewer particularly key momentshaving picked dvd mere $395 last week regular video store cannot begrudge expenditure $1095 would acceptable price film dont expect fireworks",1
34,"whats inexplicable firstly hatred towards movie may greatest movie time gimme break got 11 oscars reason made eighteen hundred million dollars reason its damn good movie brings inexplicable aspect it idea whatsoever movie left impression saw theaters ive rewatched tv video none impact saw big screen twice maybe three times actually might it appeal it its movie yes capital there its epic its spectacle order gone wind ben hur now ben hur gone wind seem kinda hokey me hammy acting excessive melodrama titanic none that well acting actually good melodrama quite heavyhanded timesbut reason titanic works its emotional ride usually enjoy movies stimulate mind give visual thrill movie isnt exactly dumb its cerebral all visual thrills simply means end fuel emotions audience didnt cry bambis mom died dont react tearjerkers tearjerker power ten million emotional rollercoaster that regular one would make buzz aldrin scream like little girl im sure see video decided hate it ready supply cynicism thoroughly dislike movie let disbelief suspend bit give epic melodrama benefit doubt youll enjoy completely look top ten grossing films time single one bad single one worth score 1 10 no even phantom menace movie made 18 billion dollars worldwide cant bad possible 10/10ps anyone even consider comparing spiderman spiderman fun movie total 9/11 kneejerk caused gross much did simply wasnt anything special one remember 50 years im pretty sure titanic remembered",1
35,"previously wrote loved titanic cried ending many times over im guy 60s also wondered great movie many awards applauded many critics given 70 rating imdbcom userswell looked breakdown user ratings 290% votes gave 10 rating 107% gave 1 rating 107% irrational imdb users effect pulled overall rating 70 in previous comments blamed unusual voting pattern a sudden surge 1 ratings high 10 rating dropping gradually suddenly reversing course jumping 1 rating level one thing hatred leonardo dicaprio believe me ive tuned enough chat rooms see banter young people young men mostly defame left right absolutely hate man part giving credit titanic to answer one user talking someone really doesnt like movie much gave 5 6 etc everyone has entitled to his/her taste one convince imdb rating 70 overall titanic pulled level inordinate number ridiculous 1 ratings fair reflection overall motion picturelet demonstrate point comparing imdb user voting pattern titanic 5 randomly chosen box office critical bombs there many more 5 prove point heavens gate 1980 pulled theaters quickly poor box office showing imdb voters ratings were 232% 10 ratings 92% 1 ratings overall rating 61 big top peewee 1988 got 43% 10 ratings 99% 1 ratings overall rating 45 cat people 1982 got 61% 10 ratings 26% 1 ratings overall rating 58 blind date 1987 got 30% 10 ratings 28% 1 ratings overall rating 53 jumpin jack flash 1986 got 44% 10 ratings 37% 1 ratings overall rating 52 films common titanic percentages 1 ratings lower titanic none stinkers ever nominated single award again titanic got 107% 1 ratings compare 5 movies mentionedcan explanation hatred leo factor",1
36,"loved movie since 7 saw opening day touching beautiful strongly recommend seeing all its movie watch family farmy mpaa rating pg13 thematic elements prolonged scenes disastor nudity/sexuality language",1
37,"movie titanic makes much night remember writes tragic history event always talked never forgotten criticised idea could/will ever make movie like titanic moving touching every time watch it could ever replace epic masterpiece almost impossiblethe director doubt major impact film simple disaster film boring watch converted unbelievable romance yes im romance type either bother you never see romance like this guaranteed everything amazing effects music sublime acting the movie creates amazing visual wonderful feeling everything looks real live legend titanic shown brilliantly classes looks accommodation acting real effect dicaprio winslet simply best playing roles one could done better partly reason film great i guess its much talk about plot simple acting brilliant based true story probably half consumers watch film share tears thanks un imaginable ending never forgotten well havent seen film missing something hesterical film idolise hollywood could get better no all moving film time dont listen people see understand landmark dont surprised cry too",1
38,"problems film heard lot criticisms saying overlong overrated true three hours long amazed goes quickly dont think overrated all think imdb rating perfectly decent film looks sumptuous gorgeous costumes excellent effects direction james cameron rarely slips focus leonardo dicaprio gives one best performances jack kate winslet lovely rose david warner great actor steals every scene hes in story rich detail hot character development obvious love story moving needs be though first bit movie little slow last hour extremely riveting confess edge seat titanic sank also say last five minutes moving music score james horner lovely though never huge fan song heart go on 1996 miniseries good suffered undeveloped scenarios historical inaccuracies overall give titanic 85/10 bethany cox",1
39,"think james cameron might becoming favorite director second review movies anyway everyone remembers rms titanic big fast unsinkable april 1912 news one biggest tragedies ever well james cameron decided make movie star two fictional characters spotlight instead ship well onto main review let remind opinion zero fact fact present event filmso two main characters jack leonardo dicaprio rose kate winslet theyre annoying much watch youll find could become annoying http//tinyurlcom/ojhoyn main villain guess bad luck fate hand god no blasphemy intended plain caledon hockley billy zane combine get oh yes get love story sinking boat supporting characters following personal favorite mr andrews victor garberidk nice lovejoydavid warner murdochewan stewart lightoller jonathan phillips captain smithbernard hill molly brownkathy bates many more also got present day treasure hunter brock lovett bill paxton add something story something good action awesome especially second half drama also good end eyes dropping rainstorms silent tears story simple works treasure hunter seeks heart ocean instead finds drawing woman wearing said diamond calls tells tale rms titanic two lovers separated social class ultimately fate ship everything story works flaws give titanic 86% awesome",1
40,"titanic long well made tragic adventure love story takes place illfated voyage unsinkable ship writer/director james cameron done great job making movie fictional love story two different people combining real event titanic sunk hitting iceberg april 15 1912 claiming thousands lives perished icy freeing waters north atlantic two leads film great roles including leonardo dicaprio kate winslet make good onscreen couple dicpario winslet also genuine chemistry together made romance eventually blossoms much believable showed real talent one came continued show recently films well rest supporting cast including billy zane kathy bates frances fisher jonathan hyde bill paxton small role equally impressive characters help bring life film love story action suspense special effects magnificent done especially time horror situation characters felt real really happened making want survive life death situation pacing little slow times little long rest movie made its flaws titanic makes great date movie sure make girls cry almost every time watch it fact really happened definitely added movie making feel sorry lives lost titanic sunk atlantic hitting iceberg overall titanic tragic heartbreaking story two people fall love illfated ship thats brought life exceptional performances cast especially dicaprio winslet definitely make movie worth time watch",1
41,"ship may sunk movie didnt director james cameron the terminator amazing picture one favorite scenes the dinner table scene roses family friends meet jack saves her rose look face every woman meet the onei hope look room future husbandjack rose connection movie stuff its good movie stuff greedy mom elite stuck associates live husbands wealth rose almost commits suicide gilbert grape star rescues her really liked hanging boat scene good riskthe movie long its fantastic good story good flow good actors go see twice want worth it",1
42,"titanic one alltime favorite movies problems what movies dont still its enjoyablewhen stumble across someone asks like titanic suppose first reaction wait minute dont know many people dont like movie im saying dont see why the love story cheesy well yes isnt enjoyable moving right love story jack rose unrealistic everyone knows love like doesnt actually exist movie doesnt everyone enjoy watching beautiful story lets us slip slightly fantasy while next complaint dicaprio winslet terrible actors well ok movie agree perform full potentials however think its unfair say terrible actors personally think talented actors unfortunately famous movie amazing in roles given simple characters seem real enough care quite bit agree many people well could expectedand finally one going complain dont like movie hate romance hate history tragic movies im sorry earth go see movie clearly things its like people complain dark knight bad movie hate action movies simply movie dislike genre good moviewell deserving oscars particular best cinematography find best ive ever seen movie save maybe lord rings trilogyi know writing fails constant screaming others names throughout movie flashback portion story quite weak times overall its amazing achievement making titanic look real sinking feel epici understand lot people dislike movie part boils disliking fundamental idea love story rather thinking movie poorly constructedi tell read five books titanic including memoirs form day happened movie extremely historically accurate save faults main ones find piping threaded copper steel iceberg looks fairly unrealistic scene hit iti give movie 10/10 like romance movies simply its outstanding cinematic achievement leaves one feeling horrified realistic adaptation events",1
43,"titanic classic really surprised movie didnt solid ten overall imdb user rankings maybe its cool give titanic credit nowadays first made really something movie came people flocked theaters came video sister would watch twice day month safe say obsessed good reason disaster scenes hard forgot like frozen baby guy committed suicide killing someone unruly crowd many people died ship convey film immediacy emotion needed hard challenge james cameron stepped to lets forget amazing romance jack rose whether relationship figment someones imagination lovely barely knew other would die other trusted other sure hell giving romeo juliet run money ill never let go jack titanic great film its core powerful story told brilliant acting excellent cinematography beautiful music crew full hard dedicated workers really blows mind someone says hate movie",1
44,"another aussie masterpiece delves world unknown supernatural well doesnt resort big special effects overkill like american flicks focuses emotional impact relatively simple plot rebecca gibney & co bring life follows story couple buy old house supposedly home old woman never went outside whose husband disappeared mysterious circumstances century ago strange things begin happen house john adam begins turn man disappeared actually mass murderer highly recommended 8/10",1
45,"personally film goes top four time exceptions james cameron proved time time master storyteller films aliens abyss terminators clear brilliant confidant director far action sciencefiction goes sees story adds strange quality film titanic much different strokes brilliance film exceptionally moving allows room surprises plot development interesting character developments story everyone knows story famed voyager sinking maiden voyage legend challenge cameron make truthful interesting entertaining film it acting wonderful leonardo dicaprio plays jack kate winslet plays rose became superstars overnight release film films get annoyed supporting characters arent given lot film purposeful elderly rose gloria stuart tells story quickly apparent roses jacks story alone one else emotionally entirely satisfying leave dry eye theater home music become iconic legendary composer james horners finest soundtrack ever evokes much film audience song long become annoying still appreciate phenomenon film is one problem usual james cameron problem dialogue memorable bad way cheesy points aside james cameron delivered masterpiece romantic epic sweeps away journey lifetime heart wont go one",1
46,"back 1997 remember year clinton bans cloning research unfortunate death princess diana marlins world series woman gave birth septuplets also big year release titanic one biggest films time tale ship dreams boy girl fall love torn apart social class height emotional commitment ship meets disaster dont think anybody could expected titanic huge was movie bigger life millions fans 85% teenage girls 12 years old time course saw movie multiple times film made believe love jack rose shared real beautiful time felt titanic could wrong course grew didnt watch film since 14 couple years ago saw film dvd 599 figured good price see thought movie now worth hype really best movie time leonardos real nose ok know thats silly say rewatch film completely honest here titanic great movie best movie time no depends idea good movie titanic delivered romance humor disaster emotions never let us go maiden voyagethe film starts brock lovett team exploring wreck rms titanic searching necklace set valuable blue diamond called heart ocean unsuccessful instead discover drawing young woman reclining nude wearing heart ocean dated day titanic sank 101yearold rose dawson calvert learns drawing contacts lovett inform woman drawing granddaughter elizabeth lizzy calvert visit lovett skeptical team salvage ship asked knew whereabouts necklace rose calvert recalls memories aboard titanic revealing first time rose dewitt bukater 1912 upperclass 17yearold rose boards ship fiancé cal hockley mother ruth dewitt bukater stress importance roses engagement cal since marriage mean eradication dewittbukater debts outward appearance upperclass rose mother financially broke distraught frustrated engagement controlling cal pressure mother putting go marriage rose attempts suicide jumping stern leaps drifter artist named jack dawson intervenes jack rose strike tentative friendship thanks saving life shares stories adventures traveling sketching bond deepens leave stuffy firstclass formal dinner rapportbuilding wealthy much livelier gathering irish dance music beer thirdclass cals servant informs roses whereabouts rose forbidden seeing jack again however witnessing woman encouraging sevenyearold daughter behave like proper lady tea rose defies mother asking jack sketch nude wearing heart ocean engagement present cal beautiful moment together first backseat fun time go deck shipthey witness ships fatal collision iceberg overhearing ships lookouts discussing serious collision is rose tells jack warn mother cal meanwhile cal discovers roses nude drawing taunting note safe frames jack stealing heart ocean lovejoy plant jacks pocket upon learning cal intends leave jack die deck rose runs away mother rescue him jack rose return top deck cal jack though enemies want rose safe persuade board lifeboat realizing cannot leave jack rose jumps back ship reunites jack ships first class staircase jack rose return top deck lifeboats gone ship finally goes freezing atlantic taking jack rose downso titanic live its hype still say great movie watch think still quite haters reason want trash movie ton awards everyone love movie great acting amazing effects wellwritten story still looks flawless love hate it admit movie didnt get lot hype leos baby face kates amazing ability cry sight film something special always hold special place heart seeing saw film 8 times theater released aside recommend movie its great one sure go classics one day10/10",1
